cde_id	source	source_file	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	amp_units	parked
14	AMP-AD	ROSMAP_clinical_codebook.pdf	braaksc	Braak Stage Values	"{""0"": ""0"", ""1"": ""I"", ""2"": ""II"", ""3"": ""III"", ""4"": ""IV"", ""5"": ""V"", ""6"": ""VI""}"	RADC data set 754 (ROSMAP). Braak Stage: a semiquantitative measure of severity of neurofibrillary tangle (NFT) pathology. Bielschowsky silver stain was used to visualize NFTs in the frontal, temporal, parietal, entorhinal cortex, and the hippocampus. Braak stages were based upon the distribution and severity of NFT pathology: stages I and II indicate NFTs confined mainly to the entorhinal region of the brain; stages III and IV indicate involvement of limbic regions such as the hippocampus; stages V and VI indicate moderate to severe neocortical involvement. Diagnosis includes algorithm and neuropathologist's opinion. Value coding: 0=0; 1=I; 2=II; 3=III; 4=IV; 5=V; 6=VI.		false
15	AMP-AD		BrodmannArea	Brodmann area designation for brain tissue sample or region of interest	BA1 | BA2 | BA3 | BA4 | BA5 | BA6 | BA7 | BA8 | BA9 | BA10 | BA11 | BA17 | BA18 | BA19 | BA20 | BA21 | BA22 | BA24 | BA39 | BA40 | BA41 | BA42 | BA44 | BA45 | BA46 | BA47			false
16	AMP-AD	DiverseCohorts_DataDictionary.pdf	bScore	Braak Staging as Binned Values	None; Braak Stage I-II; Braak Stage III-IV; Braak Stage V-VI; Missing or unknown			false
17	AMP-AD	ROSMAP_clinical_codebook.pdf	ceradsc	CERAD Score	1=Definite AD | 2=Probable AD | 3=Possible AD | 4=No AD	RADC data set 754 (ROSMAP). CERAD score: a semiquantitative measure of neuritic plaques. A neuropathologic diagnosis was made of no AD, possible AD, probable AD, or definite AD based on semiquantitative estimates of neuritic plaque density as recommended by the Consortium to Establish a Registry for Alzheimer's Disease (CERAD), modified to be implemented without adjustment for age and clinical diagnosis. A CERAD neuropathologic diagnosis of AD required moderate (probable AD) or frequent neuritic plaques (definite AD) in one or more neocortical regions. Diagnosis includes algorithm and neuropathologist's opinion, blinded to age and all clinical data. Value coding: 1=Definite; 2=Probable; 3=Possible; 4=No AD.		false
19	AMP-AD	ROSMAP_clinical_codebook.pdf	cogdx	Final Consensus Cognitive Diagnosis	1=NCI: No cognitive impairment (No impaired domains); 2=MCI: Mild cognitive impairment (One impaired domain) and NO other cause of CI; 3=MCI: Mild cognitive impairment (One impaired domain) AND another cause of CI; 4=AD: Alzheimer's dementia and NO other cause of CI (NINCDS PROB AD); 5=AD: Alzheimer's dementia AND another cause of CI (NINCDS POSS AD); 6=Other dementia: Other primary cause of dementia	RADC data set 754 (ROSMAP). Clinical consensus diagnosis of cognitive status at time of death; physician's overall cognitive diagnostic category. At the time of death, all available clinical data were reviewed by a neurologist with expertise in dementia, and a summary diagnostic opinion was rendered regarding the most likely clinical diagnosis at the time of death. Summary diagnoses were made blinded to all postmortem data. Case conferences including one or more neurologists and a neuropsychologist were used for consensus on selected cases. Value coding: 1=NCI: No cognitive impairment (No impaired domains); 2=MCI: Mild cognitive impairment (One impaired domain) and NO other cause of CI; 3=MCI: Mild cognitive impairment (One impaired domain) AND another cause of CI; 4=AD: Alzheimer's dementia and NO other cause of CI (NINCDS PROB AD); 5=AD: Alzheimer's dementia AND another cause of CI (NINCDS POSS AD); 6=Other dementia: Other primary cause of dementia.		false
20	AMP-AD	DiverseCohorts_DataDictionary.pdf; DiverseCohorts_DataDictionary_ExtNeuropath.pdf	cohort	Cohort Identifier	AA; Banner; Biggs Institute Brain Bank; CLINCOR; Emory; LATC; MAP; MARS; Mayo Clinic; Mt Sinai Brain Bank; NY Brain Bank; UPenn; ROS; UFL			false
24	AMP-AD	ROSMAP_clinical_codebook.pdf	dcfdx	Clinical Cognitive Diagnosis Summary	1=NCI: No cognitive impairment | 2=MCI: Mild cognitive impairment, no other condition contributing to CI | 3=MCI+: Mild cognitive impairment AND another condition contributing to CI | 4=AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD) | 5=AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD) | 6=Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia	RADC data set 754 (ROSMAP). Clinical diagnosis of cognitive status (Alzheimer's dementia, other dementia, MCI, or no impairment). A clinical diagnosis of cognitive status is rendered at every assessment based on a three-stage process: computer scoring of cognitive tests, clinical judgment by a neuropsychologist, and diagnostic classification by a clinician. All participants undergo a uniform, structured clinical evaluation including a battery of 19 cognitive tests. Clinical diagnosis of dementia and clinical Alzheimer's dementia are based on NINCDS/ADRDA criteria; the diagnosis of Alzheimer's dementia requires evidence of a meaningful decline in cognitive function relative to a previous level of performance with impairment in memory and at least one other area of cognition. MCI is rendered for persons judged to have cognitive impairment by the neuropsychologist but judged not to meet criteria for dementia by the clinician. Persons diagnosed with MCI or Alzheimer's dementia may also be diagnosed with another condition that contributes to their cognitive impairment (CI). Persons without dementia or MCI are categorized as having no cognitive impairment (NCI). Value coding: 1=NCI: No cognitive impairment; 2=MCI: Mild cognitive impairment, no other condition contributing to CI; 3=MCI+: Mild cognitive impairment AND another condition contributing to CI; 4=AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD); 5=AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD); 6=Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia. Other forms: _l, _lv, _bl.		false
27	AMP-AD	PD_Medical_History_dictionary.csv	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś		2026-07-14: value set CLEARED. No AMP-AD/AMP-CMD dictionary declares a `diagnosis` column at all; this row existed only to be picked up by a name-keyed lookup.		false
28	AMP-AD	ROSMAP_clinical_codebook.pdf	educ	Years of Education	Range: 0-30	RADC data set 754 (ROSMAP). Years of education. Based on the number of years of regular school reported at baseline cognitive testing.		false
29	AMP-AD	Demographics_dictionary.csv	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown			false
33	AMP-AD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	GUID	Global Unique ID (USUBJID)				false
34	AMP-AD	DiverseCohorts_DataDictionary.pdf; DiverseCohorts_DataDictionary_ExtNeuropath.pdf	individualID	Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.	Identifier			false
35	AMP-AD	DiverseCohorts_DataDictionary.pdf	isHispanic	Hispanic or Latino ethnicity indicator	True; False; Missing or unknown			false
37	AMP-AD	DiverseCohorts_DataDictionary.pdf	mayoDx	Mayo Clinic neuropathological diagnosis	Controlled vocabulary of Mayo Clinic diagnostic categories			false
38	AMP-AD	ROSMAP_clinical_codebook.pdf	msex	Participant sex	Male | Female | M | F | Unknown	RADC data set 754 (ROSMAP). Self-reported sex, with '1' indicating male sex. Allowable codes: 1=Male; 0=Female.		false
40	AMP-AD	LBD_Cohort_Path_Data_dictionary.csv	path_braak_nft	BRAAK stage for neurofibrillary tangle pathology	0 | 1 | 2 | 3 | 4 | 5 | 6 | NA			false
41	AMP-AD	DiverseCohorts_DataDictionary.pdf; ROSMAP_clinical_codebook.pdf	pmi	Post-Mortem Interval	Continuous	RADC data set 754 (ROSMAP). Post-mortem interval (PMI): time interval in hours from time of death to autopsy. PMI refers to the interval between death and tissue preservation in hours.	hours	false
43	AMP-AD	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial			false
49	AMP-AD	ROSMAP_clinical_codebook.pdf	spanish	Indicator of Spanish ethnicity or language preference	True | False | 1 | 0	RADC data set 754 (ROSMAP). Spanish/Hispanic/Latino origin. Question: 'Are you of Spanish/Hispanic/Latino origin?' Value coding: 1=Yes; 2=No.		false
57	AMP-AD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	visit_month	Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits				false
59	AMP-AD | AMP-CMD | AMP-PD | AMP-RA/SLE	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	sex	Sex	Male;Female;Unknown			false
63	AMP-CMD	ROSMAP_clinical_codebook.pdf	age_at_visit	Age of participant at time of clinical visit	Continuous		years	false
74	AMP-CMD	DiverseCohorts_DataDictionary.pdf; DiverseCohorts_DataDictionary_ExtNeuropath.pdf	cohort	Cohort Identifier	AA; Banner; Biggs Institute Brain Bank; CLINCOR; Emory; LATC; MAP; MARS; Mayo Clinic; Mt Sinai Brain Bank; NY Brain Bank; UPenn; ROS; UFL			false
80	AMP-CMD	PD_Medical_History_dictionary.csv	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś		2026-07-14: value set CLEARED. No AMP-AD/AMP-CMD dictionary declares a `diagnosis` column at all; this row existed only to be picked up by a name-keyed lookup.		false
81	AMP-CMD	PD_Medical_History_dictionary.csv	diagnosis_type	How was diagnosis made?	Clinical | Pathological | Unknown			false
91	AMP-CMD	Demographics_dictionary.csv	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown			false
96	AMP-CMD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	GUID	Global Unique ID (USUBJID)				false
103	AMP-CMD	Modified_Schwab___England_ADL_dictionary.csv	mod_schwab_england_pct_adl_score	Modified Schwab And England Percent ADL Score	0 - 100			false
110	AMP-CMD	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial			false
116	AMP-CMD	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	sex	Sex	Male;Female;Unknown			false
124	AMP-PD	Demographics_dictionary.csv	age_at_baseline	Age At Baseline	19 - 100			false
126	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_consumed_years	How many years consumed alcohol heavily in the past?	1 - 51			false
127	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_consumption_change	Has your alcohol consumption changed over the past 10 years?	Yes | No | Unknown			false
128	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_current_use	Currentl alcohol use indicator	Yes | No | Unknown			false
129	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_drinks_daily_range	Alcohol drinking day average drinks consumed range				false
130	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_drinks_day	How many drinks do you have on an average day?	0 - 10			false
131	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_ever_used	Indicator of whether subject has ever used alcohol	Yes | No | Unknown			false
132	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_inc_dec	Has there been a general increase or decrease in your consumption over a 10-year period.	Decrease | Increase			false
133	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_prior_use	Indicator of the participant's/subject's alcohol consumption prior to the past 12 months	Yes | No | Unknown			false
134	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_recent_use	Participant (subject) alcohol consumption past 12 months	Yes | No | Unknown			false
135	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_related_hospitalization	Indicator of whether the participant/subject has been hospitalized for an alcohol-related problem (i.e., esophageal varices, delirium tremens (DTs), cirrhosis and others)	Yes | No | Unknown			false
136	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_six_more_drinks_frequency	Alcohol consume six or more drinks frequency	Never | Less than monthly | Unknown | Monthly | Daily or almost daily | Weekly			false
137	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_start_age	Age in years when participant/subject started ingesting alcoholic beverages, including social drinking	1 - 75			false
138	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_stop_age	Age in years when participant/subject stopped ingesting alcoholic beverages, including social drinking	9 - 85			false
139	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	alcohol_use_frequency	The frequency of consumption of alcohol by the participant				false
140	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	anosmia	Anosmia (per history or smell test)	Yes | No | NA			false
141	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	auton_dys	Severe dysautonomia (e.g. constipation requiring medications, urinary incontinence, orthostatic hypotension, anhidrosis)	Yes | No | NA			false
142	AMP-PD	Family_History_PD_dictionary.csv	biological_father_with_pd	Father Has Or Had Parkinson's Disease	No | Yes | Unknown			false
143	AMP-PD	Family_History_PD_dictionary.csv	biological_mother_with_pd	Mother Has Or Had Parkinson's Disease	No | Yes | Unknown			false
144	AMP-PD	Caffeine_history_dictionary.csv	caff_drinks_current_use	Current regular caffeinated drinks use indicator	Yes | No | Unknown			false
145	AMP-PD	Caffeine_history_dictionary.csv	caff_drinks_ever_used_regularly	Indicator of whether subject has evere used caffeinated drinks	Yes | No | Unknown			false
147	AMP-PD	PD_Medical_History_dictionary.csv	change_in_diagnosis	Change In Diagnosis Indicator	No | Yes			false
148	AMP-PD	PD_Medical_History_dictionary.csv	change_in_diagnosis_months_after_baseline	Number of months after baseline visit at which Change in Diagnosis occurred; negative values indicate Change in Diagnosis occurred before baseline				false
149	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	cigarettes_packs_per_day	Average number packs of cigarettes smoked daily	Unknown | 0.5 pack or less | 1 pack | 0.5 pack | 2 or more packs | 1.5 pack			false
150	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	cigarettes_per_day	Average number cigarettes smoked daily				false
151	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	cigarettes_per_day_current	Current smokers: average number cigarettes per day?	0 - 250			false
152	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	cigarettes_per_day_past	Past smokers: average number of cigarettes smoked daily?	0 - 80			false
153	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	dat	Dopamine transporter scan result	Positive | Negative | NA			false
154	AMP-PD	DaTSCAN_visual_interpretation_dictionary.csv	datscan_visual_interpretation	DaTSCAN SPECT Visual Interpretation Assessment Report	Positive | Negative			false
155	AMP-PD	PD_Medical_History_dictionary.csv	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś		2026-07-14: value set CLEARED. AMP-PD's own dictionary leaves UniqueValues blank for this column. The row had been carrying AMP-RA/SLE's rheumatology list (At-Risk RA, CLE, LN, OA, PsA, PsO, SjD, vitiligo...), which was being emitted onto Parkinson's patients. AMP-PD states no value set, so neither does this row.		false
157	AMP-PD	PD_Medical_History_dictionary.csv	diagnosis_type	How was diagnosis made?	Clinical | Pathological | Unknown			false
160	AMP-PD	MOCA_dictionary.csv	education_12years_complete	Indicator Of Whether Subject Has Completed 12 Years Of Education	Greater than 12 years of education | Less than or equal to 12 years of education			false
161	AMP-PD	Demographics_dictionary.csv	education_level_years	Education Level Years	0 years | Less than 12 years | 12-16 years | Greater than 16 years | Unknown			false
162	AMP-PD	Enrollment_dictionary.csv	enrollment_months_after_baseline	Number of months after baseline visit at which Enrollment occurred; negative values indicate Enrollment occurred before baseline				false
163	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0101_sitting_and_reading	ESS - Sitting And Reading (ESS0101)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
164	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0102_watching_tv	ESS - Watching TV (ESS0102)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
165	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0103_sitting_inactive_in_public_place	ESS - Sitting, Inactive In A Public Place (ESS0103)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
166	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0104_passenger_in_car_for_hour	ESS - As A Passenger In A Car For An Hour Without A Break (ESS0104)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
167	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0105_lying_down_to_rest_in_afternoon	ESS - Lying Down To Rest In The Afternoon When Circumstances Permit (ESS0105)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
168	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0106_sitting_and_talking_to_someone	ESS - Sitting And Talking To Someone (ESS0106)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
169	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0107_sitting_after_lunch	ESS - Sitting Quietly After A Lunch Without Alcohol (ESS0107)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
170	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess0108_car_stopped_in_traffic	ESS - In A Car, While Stopped For A Few Minutes In The Traffic (ESS0108)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing			false
171	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess_info_source	ESS - Primary Source Of Information	Patient | Patient and Caregiver | Caregiver			false
172	AMP-PD	Epworth_Sleepiness_Scale_dictionary.csv	ess_summary_score	Epworth Sleepiness Scale (ESS) - Total Score	0 - 24			false
173	AMP-PD	Demographics_dictionary.csv	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown			false
174	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	exec_dys	Executive dysfunction, such as bradyphrenia, set shifting impairment, impaired attention/planning	Yes | No | NA			false
175	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	fluc_cogn	Fluctuating cognition	Yes | No | NA			false
176	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	genetic	Other genetic data available on patient	Exome | SNP chip | Other | NA			false
177	AMP-PD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	GUID	Global Unique ID (USUBJID)				false
178	AMP-PD	Enrollment_dictionary.csv	informed_consent_months_after_baseline	Number of months after baseline visit at which Informed Consent occurred; negative values indicate Informed Consent occurred before baseline				false
180	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	mds_updrs_part_i_pat_quest_primary_info_source	MDS-UPDRS Part I Patient Questionnaire Primary Source Of Information	Patient | Patient and Caregiver - Equal Proportion | Caregiver			false
181	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	mds_updrs_part_i_pat_quest_sub_score	MDS-UPDRS Part I Patient Questionnaire Questions 7-13 Summary Sub-Score	0 - 24			false
182	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	mds_updrs_part_i_primary_info_source	MDS-UPDRS Part I Questions 1-6 Primary Source Of Information	Patient | Patient and Caregiver - Equal Proportion | Caregiver			false
183	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	mds_updrs_part_i_sub_score	MDS-UPDRS Part I Questions 1-6 Summary Sub-Score	0 - 24			false
