"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"biospecimenSubtype","Biospecimen status before sample is processed into a scRNA-seq library. Several scRNA-seq technologies support a variety of sample processing methods which can introduces sources of technical variation.","FFPE tissue, PFA-fixed tissue, cell or tissue lysate, cell suspension, flow-sorted cells, fresh tissue, frozen tissue/fluid, nuclei suspension, supernatant","","FALSE","","","","string","","","",""
"cellRangerOutput","10x Genomics Cell Ranger software output several different counts results and formats, some with different processing applied. This label distinguishes between these types and is particularly helpful when multiple files are uploaded with the sample name, e.g., barcodes.tsv.gz","Not Applicable, filtered MEX, filtered_feature_bc_matrix, filtered_peak_bc_matrix, raw MEX, raw_feature_bc_matrix, raw_peak_bc_matrix","","TRUE","","","","string","","","",""
"alignmentReference","The genomic/transcriptomic reference used for performing read alignment against.","10x Cell Ranger ATAC Human Reference GRCh38 2024-A, 10x Cell Ranger Human Reference GRCh38 2020-A, 10x Cell Ranger Human Reference GRCh38 2024-A, 10x Human Transcriptome Flex Probe Set v1.0.1, 10x Human Transcriptome Flex Probe Set v1.1.0, 10x Human Transcriptome Flex Probe Set v2.0, 10x Human V(D)J reference (GRCh38), 10x Visium Human Transcriptome v1, 10x Visium Human Transcriptome v2, GRCh38, custom reference, modified GRCh38, unknown, vdj_GRCh38_alts_ensembl-4.0.0","","TRUE","","","","string","","","",""
"libraryPrepMethod","Sequencing library preparation method or kit used to create the library. If no commercially available kit was used, please select 'in-house library prep'.","10x Chromium Fixed RNA Human Transcriptome, 10x Chromium Next GEM Single Cell 3' v1, 10x Chromium Next GEM Single Cell 3' v2, 10x Chromium Next GEM Single Cell 3' v3, 10x Chromium Next GEM Single Cell 3' v3.1, 10x Chromium Next GEM Single Cell 5' v1.1, 10x Chromium Next GEM Single Cell 5' v2, 10x Chromium Next GEM Single Cell ATAC v1, 10x Chromium Next GEM Single Cell ATAC v2, 10x Chromium Single Cell Human BCR, 10x Chromium Single Cell Human TCR, 10x GEM-X Epi Multiome, 10x GEM-X Flex Human v1, 10x GEM-X Flex Human v2, 10x GEM-X Universal 3' v3, 10x GEM-X Universal 3' v4, 10x GEM-X Universal 5' v3, CEL-Seq2, Chromium Next GEM Single Cell ATAC v1.1, Fluidigm C1 HT, NEBNext Human Immune Sequencing Kit, NEBNext Ultra II Directional RNA Library, Nextera XT, Nextera XT DNA, QIAseq miRNA Library, SMART-Seq Human BCR with UMI, SMART-Seq Human TCR with UMI, SMART-Seq v4 Ultra Low Input RNA, SMARTer Stranded Total RNA v2, Takara Human BCR profiling for Illumina, Takara Human TCR profiling for Illumina, Takara Human TCRv2 profiling for Illumina, Takara Human scTCR profiling for Illumina, TruSeq Stranded mRNA, custom DASH-treatment, in-house library prep","","TRUE","","","","string","","","",""
"datasetType","High-level classification of dataset entity distinguishing between datasets compiled for a specific publication or as a general data resource.","experimental, publication","","TRUE","","","","string","","","",""
"acknowledgmentStatement","A Dataset-specific attribute specifying the path to the wiki subpage within the ARK Portal - backend project that contains the acknowledgement statement that must be included in publications using data from the given dataset as a stipulation of the conditions of use.","syn26710600/wiki/619685","","TRUE","","","","string","","","",""
"ARKRelease","A Dataset-specific attribute specifying the ARK Portal release in which this dataset was first made available to the public.","1.0, 2.0, 2024.06.R1, 2024.07.R1, 2024.08.R1, 2024.09.R1, 2024.10.R1, 2024.12.R1, 2025.01.R1, 2025.02.R1, 2025.03.R1, 2025.04.R1, 2025.05.R1, 2025.06.R1, 2025.07.R1, 2025.08.R1, 2025.09.R1, 2025.10.R1, 2025.11.R1, 2025.12.R1","","TRUE","","","","string","","","",""
"RObjectClass","Rds files store R objects, one per file. This label details the class of the R object saved to the Rds file or other similar file types.","ROCR prediction.object, Seurat object, SummarizedExperiment, Symphony reference, data.frame, list, matrix, sparse matrix, vector","","FALSE","","","","string","","","",""
"diagnosis","A high-level classifier indicating the disease status of an individual.","At-Risk RA, Not Applicable, OA, RA, SLE, Sjogren's disease, control, cutaneous lupus erythematosus, dermatomyositis, discoid lupus erythematosus, lupus nephritis, psoriasis, psoriatic arthritis, scleroderma, unknown, vitiligo","","TRUE","","","list like error","string_list","","","",""
"libraryID","A library label or name, unique within an experiment, used to distinguish sequencing libraries.","","","TRUE","","","","string","","","",""
"associatedCodeURL","A URL to the repository where associated code is available.","","","FALSE","","","","string","uri","","",""
"FMAID","Functional Model of Anatomy ontology ID corresponding to the anatomical site and origin of the biospecimen. This attribute is assigned by ARK Portal data managers.","","","TRUE","","https://bioportal.bioontology.org/ontologies/FMA/?p=summary","int error","integer","","","",""
"skinSiteStatus","Disease manifestation status of skin biospecimen.","healthy control, lesional, lesional proximal, non-lesional","","TRUE","","","","string","","","",""
"salivaCollectionProcedure","Classification of saliva collection procedure. This is a conditionally dependent attribute triggered for saliva `biospecimenType`.","stimulated, unstimulated","","TRUE","","","","string","","","",""
"synovialCollectionProcedure","Classification of procedure for synovial tissue collection.","arthroplasty, biopsy, synovectomy, unknown","","TRUE","","","","string","","","",""
"publicationType","General classification of publication.","correction, peer-reviewed, pre-print","","TRUE","","","","string","","","",""
"title","Title of the publication.","","","TRUE","","","","string","","","",""
"journal","Journal in which the publication was released","","","TRUE","","","","string","","","",""
"publicationDate","The publication date extracted from PubMed database","","","TRUE","","","","string","","","",""
"DOI","Digital object identifier","","","TRUE","","","","string","uri-reference","","",""
